FireDeckHeight,HTC,ValveGuideRaduis,CoolantRadius,InletRadius,OutletRadius,NP_FD,NP_VG,Mass,Fatigue
0.579201236,2.399285591,2.959201236,7.989201236,19.35920124,13.91920124,606926.7795,3597912.379,2.726795674,93.61863782
0.638090222,0.930482354,3.708090222,9.008090222,18.39809022,13.42809022,624928.1079,4958416.464,2.768241503,93.54692408
5.006500369,8.170308515,8.416500369,11.30650037,23.40650037,17.71650037,644062.2792,5624058.797,7.162643916,98.68896436
4.09510155,7.11355982,7.42510155,13.55510155,22.98510155,16.47510155,770505.2476,5375304.324,6.188912538,97.29768967
1.249838627,9.526869656,3.739838627,11.77983863,18.99983863,13.50983863,770448.9103,4813686.359,3.077727712,92.87262526
5.777897103,0.962175255,7.687897103,14.3778971,22.6978971,18.3378971,875338.5634,3810636.717,7.66448175,97.41228593
5.913646733,3.7720156,8.173646733,10.46364673,23.56364673,18.15364673,508936.7818,4033453.049,7.859385495,98.81253242
9.602323524,4.740172403,11.78232352,15.93232352,28.11232352,22.28232352,583233.1923,3813250.615,11.5154217,102.3681327
7.96578417,5.038817404,11.16578417,13.01578417,24.83578417,21.03578417,546345.7787,5930985.077,9.893986688,101.238345
5.579804542,9.149278249,8.349804542,15.12980454,24.27980454,18.55980454,728570.1069,5067767.453,7.41792124,98.320769
7.028080647,6.169757154,10.02808065,16.09808065,24.30808065,19.87808065,836198.2139,5288082.571,8.886001323,98.89970689
9.08380963,4.107188647,12.02380963,13.33380963,25.86380963,21.84380963,743357.5219,5563087.434,10.79164417,102.3321812
7.681655869,6.096319421,10.03165587,17.94165587,25.45165587,20.14165587,839203.4527,5110576.083,9.275739446,99.65263477
9.851062145,9.218710016,11.70106214,18.24106214,27.28106214,22.02106214,668577.5822,4039993.695,11.50105958,101.8672292
3.221254233,5.291132527,5.431254233,8.181254233,20.30125423,15.20125423,623328.8134,4629862.196,4.931424294,95.5586301
0.745651601,4.233471702,3.535651601,11.7156516,19.2156516,13.2856516,903663.8423,5048123.838,2.307025828,93.21193964
9.288201156,3.609498574,11.45820116,14.84820116,27.31820116,21.30820116,693371.8256,4352737.92,10.97923878,102.3494743
2.241813454,1.638713303,3.801813454,10.12181345,20.51181345,14.54181345,703459.5621,3505571.172,3.898893405,94.53026106
9.178260768,9.050031823,12.01826077,16.24826077,25.86826077,21.95826077,680019.5391,5810543.994,10.84423484,101.795124
9.292075307,1.100553154,11.90207531,14.43207531,26.24207531,21.98207531,779607.6557,5256916.839,10.99199015,101.4262567
8.919828979,3.213459388,10.96982898,12.47982898,26.82982898,21.81982898,655464.9657,3717492.078,10.63515198,102.431916
4.534102204,4.975554716,6.294102204,14.0641022,22.2041022,17.4841022,940687.7354,3842901.715,6.150808327,96.67353824
10.12589262,8.605530486,11.75589262,19.55589262,28.30589262,22.69589262,791622.0409,3648838.752,11.74767272,102.3082161
5.388137115,6.518477893,7.278137115,12.32813711,22.20813711,17.25813711,924511.6157,4117689.57,7.073129059,98.46771358
4.790238355,3.47907497,6.070238355,8.430238355,21.83023836,16.50023836,667460.204,2993297.676,6.282083576,98.7913048
4.448326658,9.244118721,6.108326658,10.99832666,21.87832666,17.08832666,911074.8121,3899749.359,5.885815881,97.08424389
6.105383543,6.91633657,8.745383543,16.50538354,24.09538354,18.44538354,970806.373,5766387.128,7.435757706,98.8602484
2.315135575,4.147433387,3.675135575,10.53513557,19.83513557,14.32513557,853743.6241,3822273.891,3.724559511,93.8785777
3.912008858,8.430706585,6.012008858,11.29200886,20.82200886,15.67200886,754189.3658,5232952.373,5.33539033,96.15064799
2.545659256,2.09190224,5.035659256,8.585659256,20.25565926,14.40565926,940234.9428,4873857.483,3.980285748,95.26234653
5.508878386,6.704507013,7.928878386,10.34887839,23.46887839,18.00887839,709087.8987,5091594.952,6.959234349,98.6054087
3.315230656,3.061151087,4.855230656,10.37523066,20.51523066,14.97523066,752790.915,4007548.928,4.75016322,94.90523318
3.50056728,5.277277743,5.36056728,8.09056728,19.95056728,15.76056728,766078.7282,4307905.793,4.976293616,95.73744922
7.103715949,3.918751299,8.943715949,12.36371595,25.28371595,19.31371595,886971.0979,3859467.183,8.554206051,99.75753183
8.013579576,5.093876888,10.02357958,17.40357958,24.33357958,20.39357958,1079858.011,5005810.423,9.39508956,99.39377972
10.04195437,7.463756984,12.18195437,19.74195437,27.35195437,21.47195437,889297.3047,5183124.987,11.15607686,101.5813204
5.405906288,0.304964643,7.085906288,13.05590629,22.15590629,17.65590629,1028922.29,4663601.452,6.578593243,97.42083333
9.082232916,4.63115333,10.57223292,13.71223292,26.69223292,20.83223292,780686.7541,3640061.613,10.30661261,101.4614921
8.213588173,5.756940206,9.553588173,18.52358817,26.04358817,19.88358817,1053273.515,3997156.79,9.317446402,99.73773116
